id,user_id,student_id_number,birth_date,cohort_id,enrollment_status,created_at
24,24,STU-100024,2004-08-09,1,ACTIVE,2026-06-04 17:09:52.577177
25,25,STU-100025,2005-03-17,3,ACTIVE,2026-06-04 17:09:52.577202
26,26,STU-100026,2003-06-24,2,ACTIVE,2026-06-04 17:09:52.577223
27,27,STU-100027,2007-08-23,2,ACTIVE,2026-06-04 17:09:52.577248
28,28,STU-100028,2007-08-10,1,ACTIVE,2026-06-04 17:09:52.577269
29,29,STU-100029,2007-09-01,3,ACTIVE,2026-06-04 17:09:52.577290
30,30,STU-100030,2006-09-16,2,ACTIVE,2026-06-04 17:09:52.577312
31,31,STU-100031,2003-05-09,2,ACTIVE,2026-06-04 17:09:52.577337
32,32,STU-100032,2005-01-06,1,ACTIVE,2026-06-04 17:09:52.577360
33,33,STU-100033,2002-04-16,2,ACTIVE,2026-06-04 17:09:52.577381
34,34,STU-100034,2007-04-11,1,ACTIVE,2026-06-04 17:09:52.577401
35,35,STU-100035,2006-12-05,2,ACTIVE,2026-06-04 17:09:52.577422
36,36,STU-100036,2005-11-24,1,ACTIVE,2026-06-04 17:09:52.577447
37,37,STU-100037,2002-12-23,3,ACTIVE,2026-06-04 17:09:52.577468
38,38,STU-100038,2006-02-26,2,ACTIVE,2026-06-04 17:09:52.577490
39,39,STU-100039,2001-03-18,3,ACTIVE,2026-06-04 17:09:52.577512
40,40,STU-100040,2003-06-29,1,ACTIVE,2026-06-04 17:09:52.577534
41,41,STU-100041,2001-06-29,1,ACTIVE,2026-06-04 17:09:52.577666
42,42,STU-100042,2007-04-21,2,ACTIVE,2026-06-04 17:09:52.577708
43,43,STU-100043,2008-01-10,2,ACTIVE,2026-06-04 17:09:52.577738
44,44,STU-100044,2001-12-27,3,ACTIVE,2026-06-04 17:09:52.577764
45,45,STU-100045,2001-08-10,2,ACTIVE,2026-06-04 17:09:52.577788
46,46,STU-100046,2007-02-28,3,ACTIVE,2026-06-04 17:09:52.577811
47,47,STU-100047,2006-07-18,3,ACTIVE,2026-06-04 17:09:52.577833
48,48,STU-100048,2002-02-01,3,ACTIVE,2026-06-04 17:09:52.577854
49,49,STU-100049,2005-04-02,1,ACTIVE,2026-06-04 17:09:52.577876
50,50,STU-100050,2008-02-02,1,ACTIVE,2026-06-04 17:09:52.577897
51,51,STU-100051,2008-06-01,1,ACTIVE,2026-06-04 17:09:52.577918
52,52,STU-100052,2003-08-26,2,ACTIVE,2026-06-04 17:09:52.577939
53,53,STU-100053,2005-05-10,1,DROPPED,2026-06-04 17:09:52.577959
54,54,STU-100054,2001-07-06,3,ACTIVE,2026-06-04 17:09:52.577981
55,55,STU-100055,2006-01-18,1,ACTIVE,2026-06-04 17:09:52.578002
56,56,STU-100056,2005-02-21,3,ACTIVE,2026-06-04 17:09:52.578023
57,57,STU-100057,2002-03-27,2,ACTIVE,2026-06-04 17:09:52.578043
58,58,STU-100058,2006-04-29,3,ACTIVE,2026-06-04 17:09:52.578066
59,59,STU-100059,2005-05-20,2,ACTIVE,2026-06-04 17:09:52.578087
60,60,STU-100060,2003-11-04,1,ACTIVE,2026-06-04 17:09:52.578107
61,61,STU-100061,2003-12-03,1,ACTIVE,2026-06-04 17:09:52.578128
62,62,STU-100062,2002-07-14,2,ACTIVE,2026-06-04 17:09:52.578148
63,63,STU-100063,2001-03-04,1,DROPPED,2026-06-04 17:09:52.578169
64,64,STU-100064,2005-09-26,2,DROPPED,2026-06-04 17:09:52.578189
65,65,STU-100065,2000-12-16,2,ACTIVE,2026-06-04 17:09:52.578209
66,66,STU-100066,2008-03-23,1,ACTIVE,2026-06-04 17:09:52.578230
67,67,STU-100067,2004-10-30,3,ACTIVE,2026-06-04 17:09:52.578250
68,68,STU-100068,2003-01-06,2,ACTIVE,2026-06-04 17:09:52.578270
69,69,STU-100069,2005-12-27,2,ACTIVE,2026-06-04 17:09:52.578290
70,70,STU-100070,2004-11-13,3,ACTIVE,2026-06-04 17:09:52.578310
71,71,STU-100071,2000-11-05,3,ACTIVE,2026-06-04 17:09:52.578330
72,72,STU-100072,2003-09-30,3,ACTIVE,2026-06-04 17:09:52.578349
73,73,STU-100073,2002-07-14,3,DROPPED,2026-06-04 17:09:52.578370
74,74,STU-100074,2001-09-28,3,ACTIVE,2026-06-04 17:09:52.578390
75,75,STU-100075,2002-09-09,3,ACTIVE,2026-06-04 17:09:52.578410
76,76,STU-100076,2007-08-20,2,ACTIVE,2026-06-04 17:09:52.578430
77,77,STU-100077,2007-11-26,1,ACTIVE,2026-06-04 17:09:52.578450
78,78,STU-100078,2001-08-18,3,ACTIVE,2026-06-04 17:09:52.578471
79,79,STU-100079,2002-01-15,3,ACTIVE,2026-06-04 17:09:52.578491
80,80,STU-100080,2002-09-09,3,ACTIVE,2026-06-04 17:09:52.578511
81,81,STU-100081,2006-10-24,1,ACTIVE,2026-06-04 17:09:52.578531
82,82,STU-100082,2003-08-20,1,ACTIVE,2026-06-04 17:09:52.578552
83,83,STU-100083,2005-02-08,1,ACTIVE,2026-06-04 17:09:52.578572
84,84,STU-100084,2005-02-11,2,ACTIVE,2026-06-04 17:09:52.578592
85,85,STU-100085,2004-06-30,1,ACTIVE,2026-06-04 17:09:52.578612
86,86,STU-100086,2006-11-01,1,ACTIVE,2026-06-04 17:09:52.578632
87,87,STU-100087,2005-02-06,3,ACTIVE,2026-06-04 17:09:52.578654
88,88,STU-100088,2000-11-28,2,ACTIVE,2026-06-04 17:09:52.578674
89,89,STU-100089,2000-10-03,3,ACTIVE,2026-06-04 17:09:52.578694
90,90,STU-100090,2003-01-19,2,ACTIVE,2026-06-04 17:09:52.578714
91,91,STU-100091,2006-08-06,2,ACTIVE,2026-06-04 17:09:52.578734
92,92,STU-100092,2001-04-12,3,ACTIVE,2026-06-04 17:09:52.578754
93,93,STU-100093,2008-05-25,2,ACTIVE,2026-06-04 17:09:52.578774
94,94,STU-100094,2001-04-05,1,SUSPENDED,2026-06-04 17:09:52.578795
95,95,STU-100095,2005-04-07,3,ACTIVE,2026-06-04 17:09:52.578814
96,96,STU-100096,2003-08-06,3,ACTIVE,2026-06-04 17:09:52.578834
97,97,STU-100097,2001-12-26,3,ACTIVE,2026-06-04 17:09:52.578854
98,98,STU-100098,2002-12-28,1,ACTIVE,2026-06-04 17:09:52.578882
99,99,STU-100099,2006-02-06,2,ACTIVE,2026-06-04 17:09:52.578909
100,100,STU-100100,2006-04-25,3,ACTIVE,2026-06-04 17:09:52.578933
101,101,STU-100101,2008-04-04,3,ACTIVE,2026-06-04 17:09:52.578953
102,102,STU-100102,2005-07-13,2,ACTIVE,2026-06-04 17:09:52.578976
103,103,STU-100103,2001-11-17,3,ACTIVE,2026-06-04 17:09:52.578999
104,104,STU-100104,2003-11-25,1,ACTIVE,2026-06-04 17:09:52.579023
105,105,STU-100105,2001-01-12,1,ACTIVE,2026-06-04 17:09:52.579043
106,106,STU-100106,2005-11-04,3,ACTIVE,2026-06-04 17:09:52.579063
107,107,STU-100107,2005-04-02,1,ACTIVE,2026-06-04 17:09:52.579083
108,108,STU-100108,2004-09-19,2,ACTIVE,2026-06-04 17:09:52.579119
109,109,STU-100109,2008-05-10,3,ACTIVE,2026-06-04 17:09:52.579147
110,110,STU-100110,2003-04-19,1,ACTIVE,2026-06-04 17:09:52.579169
111,111,STU-100111,2002-10-21,1,ACTIVE,2026-06-04 17:09:52.579189
112,112,STU-100112,2006-12-02,1,ACTIVE,2026-06-04 17:09:52.579214
113,113,STU-100113,2004-07-01,1,ACTIVE,2026-06-04 17:09:52.579238
114,114,STU-100114,2007-09-22,1,ACTIVE,2026-06-04 17:09:52.579261
115,115,STU-100115,2005-10-09,3,ACTIVE,2026-06-04 17:09:52.579284
116,116,STU-100116,2002-04-13,1,ACTIVE,2026-06-04 17:09:52.579304
117,117,STU-100117,2003-06-28,3,SUSPENDED,2026-06-04 17:09:52.579327
118,118,STU-100118,2006-01-09,1,ACTIVE,2026-06-04 17:09:52.579347
119,119,STU-100119,2007-03-30,3,ACTIVE,2026-06-04 17:09:52.579367
120,120,STU-100120,2001-10-29,1,ACTIVE,2026-06-04 17:09:52.579387
121,121,STU-100121,2005-08-04,3,ACTIVE,2026-06-04 17:09:52.579411
122,122,STU-100122,2002-11-10,3,ACTIVE,2026-06-04 17:09:52.579433
123,123,STU-100123,2005-01-22,1,ACTIVE,2026-06-04 17:09:52.579453
124,124,STU-100124,2004-12-20,2,ACTIVE,2026-06-04 17:09:52.579476
125,125,STU-100125,2005-08-22,2,ACTIVE,2026-06-04 17:09:52.579499
126,126,STU-100126,2007-08-28,2,ACTIVE,2026-06-04 17:09:52.579519
127,127,STU-100127,2006-02-19,1,ACTIVE,2026-06-04 17:09:52.579542
128,128,STU-100128,2004-05-07,2,ACTIVE,2026-06-04 17:09:52.579565
129,129,STU-100129,2001-03-19,3,ACTIVE,2026-06-04 17:09:52.579587
130,130,STU-100130,2005-10-09,3,ACTIVE,2026-06-04 17:09:52.579611
131,131,STU-100131,2004-08-29,2,ACTIVE,2026-06-04 17:09:52.579633
132,132,STU-100132,2001-07-26,1,ACTIVE,2026-06-04 17:09:52.579656
133,133,STU-100133,2006-01-02,3,ACTIVE,2026-06-04 17:09:52.579676
134,134,STU-100134,2002-01-29,1,ACTIVE,2026-06-04 17:09:52.579699
135,135,STU-100135,2007-12-29,2,ACTIVE,2026-06-04 17:09:52.579722
136,136,STU-100136,2007-06-27,3,ACTIVE,2026-06-04 17:09:52.579742
137,137,STU-100137,2002-12-28,2,ACTIVE,2026-06-04 17:09:52.579765
138,138,STU-100138,2006-04-17,2,ACTIVE,2026-06-04 17:09:52.579790
139,139,STU-100139,2003-10-06,2,ACTIVE,2026-06-04 17:09:52.579810
140,140,STU-100140,2005-06-05,1,SUSPENDED,2026-06-04 17:09:52.579833
141,141,STU-100141,2008-03-25,1,ACTIVE,2026-06-04 17:09:52.579856
142,142,STU-100142,2001-11-30,1,SUSPENDED,2026-06-04 17:09:52.579876
143,143,STU-100143,2002-10-06,2,ACTIVE,2026-06-04 17:09:52.579896
144,144,STU-100144,2007-11-10,3,DROPPED,2026-06-04 17:09:52.579920
145,145,STU-100145,2000-06-27,3,ACTIVE,2026-06-04 17:09:52.579940
146,146,STU-100146,2005-03-31,1,ACTIVE,2026-06-04 17:09:52.579965
147,147,STU-100147,2001-12-18,2,ACTIVE,2026-06-04 17:09:52.579986
148,148,STU-100148,2001-03-16,3,ACTIVE,2026-06-04 17:09:52.580008
149,149,STU-100149,2006-10-21,2,ACTIVE,2026-06-04 17:09:52.580028
150,150,STU-100150,2007-11-05,3,ACTIVE,2026-06-04 17:09:52.580049
151,151,STU-100151,2007-12-21,3,ACTIVE,2026-06-04 17:09:52.580069
152,152,STU-100152,2003-07-19,1,ACTIVE,2026-06-04 17:09:52.580089
153,153,STU-100153,2003-12-03,2,ACTIVE,2026-06-04 17:09:52.580112
154,154,STU-100154,2007-12-10,1,ACTIVE,2026-06-04 17:09:52.580134
155,155,STU-100155,2005-09-24,3,ACTIVE,2026-06-04 17:09:52.580156
156,156,STU-100156,2006-12-12,2,ACTIVE,2026-06-04 17:09:52.580178
157,157,STU-100157,2003-04-24,1,ACTIVE,2026-06-04 17:09:52.580201
158,158,STU-100158,2004-10-19,3,ACTIVE,2026-06-04 17:09:52.580224
159,159,STU-100159,2003-10-10,3,ACTIVE,2026-06-04 17:09:52.580247
160,160,STU-100160,2001-07-31,3,DROPPED,2026-06-04 17:09:52.580274
161,161,STU-100161,2001-03-09,2,ACTIVE,2026-06-04 17:09:52.580296
162,162,STU-100162,2001-10-09,2,ACTIVE,2026-06-04 17:09:52.580319
163,163,STU-100163,2004-06-04,2,ACTIVE,2026-06-04 17:09:52.580339
164,164,STU-100164,2004-03-08,1,ACTIVE,2026-06-04 17:09:52.580362
165,165,STU-100165,2006-08-30,1,ACTIVE,2026-06-04 17:09:52.580381
166,166,STU-100166,2002-03-11,2,ACTIVE,2026-06-04 17:09:52.580406
167,167,STU-100167,2005-06-14,2,ACTIVE,2026-06-04 17:09:52.580429
168,168,STU-100168,2004-02-08,2,ACTIVE,2026-06-04 17:09:52.580449
169,169,STU-100169,2006-04-13,1,ACTIVE,2026-06-04 17:09:52.580471
170,170,STU-100170,2005-04-19,3,ACTIVE,2026-06-04 17:09:52.580494
171,171,STU-100171,2005-03-20,3,ACTIVE,2026-06-04 17:09:52.580513
172,172,STU-100172,2001-07-01,2,ACTIVE,2026-06-04 17:09:52.580536
173,173,STU-100173,2005-04-12,3,ACTIVE,2026-06-04 17:09:52.580562
174,174,STU-100174,2001-01-26,2,ACTIVE,2026-06-04 17:09:52.580583
175,175,STU-100175,2001-07-06,1,DROPPED,2026-06-04 17:09:52.580608
176,176,STU-100176,2007-11-24,2,ACTIVE,2026-06-04 17:09:52.580628
177,177,STU-100177,2001-08-14,1,ACTIVE,2026-06-04 17:09:52.580650
178,178,STU-100178,2002-07-02,1,ACTIVE,2026-06-04 17:09:52.580673
179,179,STU-100179,2007-04-18,2,ACTIVE,2026-06-04 17:09:52.580694
180,180,STU-100180,2004-05-25,1,ACTIVE,2026-06-04 17:09:52.580720
181,181,STU-100181,2002-05-11,3,ACTIVE,2026-06-04 17:09:52.580740
182,182,STU-100182,2004-05-13,2,ACTIVE,2026-06-04 17:09:52.580763
183,183,STU-100183,2005-01-25,3,ACTIVE,2026-06-04 17:09:52.580788
184,184,STU-100184,2002-06-22,1,ACTIVE,2026-06-04 17:09:52.580808
185,185,STU-100185,2004-03-11,1,ACTIVE,2026-06-04 17:09:52.580828
186,186,STU-100186,2002-03-16,2,ACTIVE,2026-06-04 17:09:52.580848
187,187,STU-100187,2002-07-06,3,ACTIVE,2026-06-04 17:09:52.580873
188,188,STU-100188,2007-11-01,3,ACTIVE,2026-06-04 17:09:52.580896
189,189,STU-100189,2005-06-23,1,ACTIVE,2026-06-04 17:09:52.580918
190,190,STU-100190,2002-10-14,3,ACTIVE,2026-06-04 17:09:52.580938
191,191,STU-100191,2008-03-26,2,ACTIVE,2026-06-04 17:09:52.580961
192,192,STU-100192,2005-06-18,2,ACTIVE,2026-06-04 17:09:52.580984
193,193,STU-100193,2007-06-23,3,ACTIVE,2026-06-04 17:09:52.581004
194,194,STU-100194,2001-11-06,2,ACTIVE,2026-06-04 17:09:52.581026
195,195,STU-100195,2003-11-12,1,DROPPED,2026-06-04 17:09:52.581049
196,196,STU-100196,2008-03-18,3,SUSPENDED,2026-06-04 17:09:52.581071
197,197,STU-100197,2001-12-19,3,ACTIVE,2026-06-04 17:09:52.581094
198,198,STU-100198,2002-06-13,2,ACTIVE,2026-06-04 17:09:52.581117
199,199,STU-100199,2002-09-08,2,ACTIVE,2026-06-04 17:09:52.581139
200,200,STU-100200,2001-01-23,1,ACTIVE,2026-06-04 17:09:52.581162
201,201,STU-100201,2005-03-22,3,ACTIVE,2026-06-04 17:09:52.581185
202,202,STU-100202,2002-07-31,3,ACTIVE,2026-06-04 17:09:52.581206
203,203,STU-100203,2008-01-28,3,ACTIVE,2026-06-04 17:09:52.581228
204,204,STU-100204,2005-11-23,1,DROPPED,2026-06-04 17:09:52.581253
205,205,STU-100205,2006-02-19,2,ACTIVE,2026-06-04 17:09:52.581276
206,206,STU-100206,2002-09-07,2,ACTIVE,2026-06-04 17:09:52.581296
207,207,STU-100207,2004-10-26,3,ACTIVE,2026-06-04 17:09:52.581315
208,208,STU-100208,2006-07-03,3,ACTIVE,2026-06-04 17:09:52.581335
209,209,STU-100209,2005-08-28,2,ACTIVE,2026-06-04 17:09:52.581355
210,210,STU-100210,2002-03-09,1,SUSPENDED,2026-06-04 17:09:52.581375
211,211,STU-100211,2001-03-06,2,ACTIVE,2026-06-04 17:09:52.581394
212,212,STU-100212,2002-07-01,2,SUSPENDED,2026-06-04 17:09:52.581419
213,213,STU-100213,2005-03-27,3,ACTIVE,2026-06-04 17:09:52.581444
214,214,STU-100214,2004-01-12,2,ACTIVE,2026-06-04 17:09:52.581464
215,215,STU-100215,2005-03-01,1,ACTIVE,2026-06-04 17:09:52.581484
216,216,STU-100216,2006-09-01,3,ACTIVE,2026-06-04 17:09:52.581509
217,217,STU-100217,2003-05-30,3,ACTIVE,2026-06-04 17:09:52.581529
218,218,STU-100218,2007-04-14,3,ACTIVE,2026-06-04 17:09:52.581552
219,219,STU-100219,2007-03-01,2,ACTIVE,2026-06-04 17:09:52.581572
220,220,STU-100220,2007-11-21,1,ACTIVE,2026-06-04 17:09:52.581594
221,221,STU-100221,2005-06-21,2,ACTIVE,2026-06-04 17:09:52.581617
222,222,STU-100222,2003-06-16,2,ACTIVE,2026-06-04 17:09:52.581640
223,223,STU-100223,2003-12-17,1,ACTIVE,2026-06-04 17:09:52.581662
224,224,STU-100224,2004-10-08,1,ACTIVE,2026-06-04 17:09:52.581682
225,225,STU-100225,2000-06-20,3,ACTIVE,2026-06-04 17:09:52.581705
226,226,STU-100226,2005-09-27,3,ACTIVE,2026-06-04 17:09:52.581728
227,227,STU-100227,2002-08-13,2,ACTIVE,2026-06-04 17:09:52.581748
228,228,STU-100228,2002-07-16,3,ACTIVE,2026-06-04 17:09:52.581771
229,229,STU-100229,2007-04-25,3,ACTIVE,2026-06-04 17:09:52.581794
230,230,STU-100230,2005-04-02,2,ACTIVE,2026-06-04 17:09:52.581817
231,231,STU-100231,2002-06-02,2,ACTIVE,2026-06-04 17:09:52.581838
232,232,STU-100232,2002-06-13,1,ACTIVE,2026-06-04 17:09:52.581861
233,233,STU-100233,2004-10-20,3,ACTIVE,2026-06-04 17:09:52.581884
234,234,STU-100234,2002-12-30,1,ACTIVE,2026-06-04 17:09:52.581907
235,235,STU-100235,2003-01-12,2,ACTIVE,2026-06-04 17:09:52.581931
236,236,STU-100236,2005-04-26,1,ACTIVE,2026-06-04 17:09:52.581950
237,237,STU-100237,2001-11-11,2,ACTIVE,2026-06-04 17:09:52.581973
238,238,STU-100238,2001-07-13,3,ACTIVE,2026-06-04 17:09:52.581996
239,239,STU-100239,2002-06-20,3,ACTIVE,2026-06-04 17:09:52.582019
240,240,STU-100240,2007-01-31,3,ACTIVE,2026-06-04 17:09:52.582042
241,241,STU-100241,2006-03-23,1,ACTIVE,2026-06-04 17:09:52.582065
242,242,STU-100242,2007-04-16,1,ACTIVE,2026-06-04 17:09:52.582088
243,243,STU-100243,2007-11-01,1,ACTIVE,2026-06-04 17:09:52.582107
244,244,STU-100244,2008-05-04,3,ACTIVE,2026-06-04 17:09:52.582130
245,245,STU-100245,2004-12-05,3,ACTIVE,2026-06-04 17:09:52.582150
246,246,STU-100246,2001-04-18,1,ACTIVE,2026-06-04 17:09:52.582173
247,247,STU-100247,2007-09-18,2,ACTIVE,2026-06-04 17:09:52.582193
248,248,STU-100248,2005-01-18,2,ACTIVE,2026-06-04 17:09:52.582213
249,249,STU-100249,2006-05-06,1,ACTIVE,2026-06-04 17:09:52.582233
250,250,STU-100250,2008-01-11,1,ACTIVE,2026-06-04 17:09:52.582253
251,251,STU-100251,2005-05-13,3,ACTIVE,2026-06-04 17:09:52.582273
252,252,STU-100252,2003-07-13,1,ACTIVE,2026-06-04 17:09:52.582293
253,253,STU-100253,2001-11-21,1,ACTIVE,2026-06-04 17:09:52.582316
254,254,STU-100254,2001-11-25,2,ACTIVE,2026-06-04 17:09:52.582341
255,255,STU-100255,2006-11-12,3,SUSPENDED,2026-06-04 17:09:52.582362
256,256,STU-100256,2003-09-21,3,ACTIVE,2026-06-04 17:09:52.582387
257,257,STU-100257,2004-05-18,2,ACTIVE,2026-06-04 17:09:52.582408
258,258,STU-100258,2004-09-16,1,DROPPED,2026-06-04 17:09:52.582430
259,259,STU-100259,2008-04-28,3,ACTIVE,2026-06-04 17:09:52.582456
260,260,STU-100260,2006-01-13,3,ACTIVE,2026-06-04 17:09:52.582476
261,261,STU-100261,2001-10-25,2,ACTIVE,2026-06-04 17:09:52.582496
262,262,STU-100262,2005-10-01,3,ACTIVE,2026-06-04 17:09:52.582519
263,263,STU-100263,2003-07-26,3,SUSPENDED,2026-06-04 17:09:52.582539
264,264,STU-100264,2001-04-26,1,ACTIVE,2026-06-04 17:09:52.582562
265,265,STU-100265,2004-06-11,1,ACTIVE,2026-06-04 17:09:52.582590
266,266,STU-100266,2007-03-04,3,ACTIVE,2026-06-04 17:09:52.582613
267,267,STU-100267,2002-04-24,3,ACTIVE,2026-06-04 17:09:52.582632
268,268,STU-100268,2003-06-06,2,ACTIVE,2026-06-04 17:09:52.582655
269,269,STU-100269,2002-04-18,1,ACTIVE,2026-06-04 17:09:52.582675
270,270,STU-100270,2002-07-18,1,ACTIVE,2026-06-04 17:09:52.582695
271,271,STU-100271,2005-10-28,2,ACTIVE,2026-06-04 17:09:52.582780
272,272,STU-100272,2007-06-12,2,ACTIVE,2026-06-04 17:09:52.582839
273,273,STU-100273,2001-12-09,3,ACTIVE,2026-06-04 17:09:52.582881
274,274,STU-100274,2006-07-23,2,ACTIVE,2026-06-04 17:09:52.582912
275,275,STU-100275,2007-01-28,3,ACTIVE,2026-06-04 17:09:52.582936
276,276,STU-100276,2000-12-22,3,ACTIVE,2026-06-04 17:09:52.582963
277,277,STU-100277,2005-05-12,1,ACTIVE,2026-06-04 17:09:52.582985
278,278,STU-100278,2004-04-08,1,ACTIVE,2026-06-04 17:09:52.583007
279,279,STU-100279,2003-06-12,1,ACTIVE,2026-06-04 17:09:52.583032
280,280,STU-100280,2005-02-22,1,DROPPED,2026-06-04 17:09:52.583055
281,281,STU-100281,2007-01-23,3,ACTIVE,2026-06-04 17:09:52.583079
282,282,STU-100282,2002-06-18,3,ACTIVE,2026-06-04 17:09:52.583100
283,283,STU-100283,2007-05-16,3,ACTIVE,2026-06-04 17:09:52.583121
284,284,STU-100284,2002-11-21,2,SUSPENDED,2026-06-04 17:09:52.583141
285,285,STU-100285,2003-07-23,2,ACTIVE,2026-06-04 17:09:52.583162
286,286,STU-100286,2000-10-11,1,ACTIVE,2026-06-04 17:09:52.583188
287,287,STU-100287,2007-12-17,3,ACTIVE,2026-06-04 17:09:52.583212
288,288,STU-100288,2000-11-23,2,ACTIVE,2026-06-04 17:09:52.583233
289,289,STU-100289,2007-11-11,3,ACTIVE,2026-06-04 17:09:52.583253
290,290,STU-100290,2001-03-21,3,ACTIVE,2026-06-04 17:09:52.583275
291,291,STU-100291,2003-03-26,2,DROPPED,2026-06-04 17:09:52.583299
292,292,STU-100292,2005-07-26,1,ACTIVE,2026-06-04 17:09:52.583323
293,293,STU-100293,2003-10-31,1,ACTIVE,2026-06-04 17:09:52.583344
294,294,STU-100294,2001-07-05,2,DROPPED,2026-06-04 17:09:52.583364
295,295,STU-100295,2007-07-13,3,ACTIVE,2026-06-04 17:09:52.583385
296,296,STU-100296,2003-02-10,3,ACTIVE,2026-06-04 17:09:52.583406
297,297,STU-100297,2001-05-06,3,ACTIVE,2026-06-04 17:09:52.583430
298,298,STU-100298,2001-05-21,2,SUSPENDED,2026-06-04 17:09:52.583450
299,299,STU-100299,2003-08-12,2,ACTIVE,2026-06-04 17:09:52.583473
300,300,STU-100300,2008-03-10,2,ACTIVE,2026-06-04 17:09:52.583494
301,301,STU-100301,2002-12-02,3,ACTIVE,2026-06-04 17:09:52.583519
302,302,STU-100302,2006-02-23,2,ACTIVE,2026-06-04 17:09:52.583542
303,303,STU-100303,2005-12-26,3,ACTIVE,2026-06-04 17:09:52.583562
304,304,STU-100304,2004-06-01,2,ACTIVE,2026-06-04 17:09:52.583585
305,305,STU-100305,2008-03-13,3,ACTIVE,2026-06-04 17:09:52.583605
306,306,STU-100306,2005-03-31,3,ACTIVE,2026-06-04 17:09:52.583629
307,307,STU-100307,2000-09-08,2,ACTIVE,2026-06-04 17:09:52.583656
308,308,STU-100308,2002-06-30,3,ACTIVE,2026-06-04 17:09:52.583676
309,309,STU-100309,2007-01-09,3,ACTIVE,2026-06-04 17:09:52.583703
310,310,STU-100310,2008-02-23,2,ACTIVE,2026-06-04 17:09:52.583728
311,311,STU-100311,2005-09-20,1,ACTIVE,2026-06-04 17:09:52.583748
312,312,STU-100312,2002-06-14,3,ACTIVE,2026-06-04 17:09:52.583769
313,313,STU-100313,2002-05-09,3,ACTIVE,2026-06-04 17:09:52.583793
314,314,STU-100314,2000-08-28,2,ACTIVE,2026-06-04 17:09:52.583816
315,315,STU-100315,2004-09-19,3,ACTIVE,2026-06-04 17:09:52.583836
316,316,STU-100316,2005-06-16,2,ACTIVE,2026-06-04 17:09:52.583859
317,317,STU-100317,2007-12-22,2,ACTIVE,2026-06-04 17:09:52.583879
318,318,STU-100318,2005-06-20,3,ACTIVE,2026-06-04 17:09:52.583902
319,319,STU-100319,2003-12-14,2,ACTIVE,2026-06-04 17:09:52.583925
320,320,STU-100320,2008-05-03,1,ACTIVE,2026-06-04 17:09:52.583948
321,321,STU-100321,2005-02-05,1,ACTIVE,2026-06-04 17:09:52.583968
322,322,STU-100322,2003-11-06,2,ACTIVE,2026-06-04 17:09:52.583990
323,323,STU-100323,2000-07-09,1,ACTIVE,2026-06-04 17:09:52.584013
324,324,STU-100324,2006-08-28,3,ACTIVE,2026-06-04 17:09:52.584036
325,325,STU-100325,2003-07-29,2,ACTIVE,2026-06-04 17:09:52.584060
326,326,STU-100326,2008-03-27,1,ACTIVE,2026-06-04 17:09:52.584082
327,327,STU-100327,2002-10-12,2,ACTIVE,2026-06-04 17:09:52.584102
328,328,STU-100328,2007-04-19,2,DROPPED,2026-06-04 17:09:52.584125
329,329,STU-100329,2004-10-24,3,ACTIVE,2026-06-04 17:09:52.584146
330,330,STU-100330,2004-10-23,2,ACTIVE,2026-06-04 17:09:52.584169
331,331,STU-100331,2001-03-12,1,ACTIVE,2026-06-04 17:09:52.584189
